ref_w,x_voltage,w,v,vL,vR
-1,1.995,0.962053715020907,-0.0158330652943069,-0.292419588292055,0.260774364747507
-0.9,2.057,0.864305242843358,-0.0352203280797684,-0.283719041492441,0.213253457703442
-0.8,2.118,0.778457703441621,-0.0304358314570601,-0.254236088774526,0.193387745255709
-0.7,2.18,0.676005146349309,-0.0224268253457703,-0.216777098745577,0.171926664522354
-0.6,2.242,0.588380508201994,-0.0280154390479254,-0.197200064329366,0.141112898037954
-0.5,2.303,0.454929237697009,-0.0279993567063364,-0.158776133805082,0.102811193309746
-0.4,2.365,0.343832422000643,-0.00625603087809585,-0.105123834030235,0.0925860405275008
-0.3,2.426,0.222861048568672,-0.0178192344805404,-0.081925860405275,0.0462198456095207
-0.2,2.488,0.021630749437118,-0.006344483756835,-0.0125691540688324,-0.000143936957220971
-0.15,2.519,0.015061112898038,-0.00388388549372788,-0.00821968478610486,0.000431810871662914
-0.1,2.549,0,0,0,0
-0.08,2.562,0,0,0,0
-0.06,2.574,0,0,0,0
-0.04,2.586,0,0,0,0
-0.02,2.599,0,0,0,0
0,2.695,0,0,0,0
0.02,2.791,0,0,0,0
0.04,2.804,0,0,0,0
0.06,2.816,0,0,0,0
0.08,2.828,0,0,0,0
0.1,2.841,0,0,0,0
0.15,2.872,0,0,0,0
0.2,2.902,-0.0127372145384368,-0.00369089739466066,0,-0.00734078481826954
0.3,2.964,-0.123576712769379,-0.0275570923126407,0.00797684142811193,-0.0630701190093278
0.4,3.026,-0.234802187198456,-0.027356063042779,0.0401149887423609,-0.0948898359601158
0.5,3.087,-0.395295915085236,-0.0208105500160823,0.0928015439047925,-0.134486973303313
0.6,3.149,-0.449935670633644,-0.019395303956256,0.10995657767771,-0.148747989707301
0.7,3.21,-0.581987777420392,-0.0290768735927951,0.138237375361853,-0.196408009006111
0.8,3.272,-0.665833065294307,-0.00804117079446767,0.183423930524284,-0.199432293341911
0.9,3.334,-0.781055001608234,-0.0247185590221936,0.199861691862335,-0.249252171116115
1,3.395,-0.870344162110003,-0.0206014795754262,0.229585075587005,-0.270854776455452
